case_id,category,severity,expected_rules,ai_root_cause,evaluation_result,model_confidence,effective_confidence,evidence_integrity,reconciliation
CASE-001,VLAN,High,R004 R005 R006,"VLAN 30 has not been created in the VLAN database on SW1. As a result, access port Gi0/2 (connected to SRV-FILES) is inactive, interface Vlan30 is administratively down, and no route to 192.168.30.0/24 exists in the routing table.",PARTIAL,high,low,failed,agree
CASE-002,VLAN,High,R003 R006 R015,"Interface Vlan30 (SVI) has not been configured on SW1 with IP address 192.168.30.1/24. While Layer 2 VLAN 30 exists and Gi0/3 is assigned to it, the missing Layer 3 SVI prevents SW1 from serving as the default gateway for VLAN 30 and routing traffic between VLAN 30 and other subnets.",PARTIAL,high,low,failed,agree
CASE-003,VLAN,High,R007,"Interface GigabitEthernet0/2 on SW1 is incorrectly configured for access VLAN 10 (SALES) instead of VLAN 20 (HR). As a result, PC-HR is placed in the wrong broadcast domain and cannot reach its default gateway 192.168.20.1.",PARTIAL,high,low,failed,agree
CASE-004,VLAN,High,R008,"VLAN 20 is missing from the allowed VLAN list on SW2's trunk interface GigabitEthernet0/24. While SW1 allows VLANs 10 and 20, SW2 only allows VLAN 10, causing VLAN 20 traffic to be pruned across the uplink so VLAN 20 clients behind SW2 cannot reach their default gateway on SW1.",PARTIAL,high,low,failed,agree
CASE-005,VLAN,Medium,R008,,UNABLE_TO_EVALUATE,,,,
CASE-006,GATEWAY,High,R003,"PC-ACC is configured with an incorrect default gateway IP address of 192.168.50.254 instead of 192.168.50.1. Because no device on the local subnet owns 192.168.50.254, ARP resolution fails and PC-ACC cannot forward packets to remote subnets such as the server LAN.",PARTIAL,high,low,failed,agree
CASE-007,GATEWAY,High,R003,"PC-BRANCH has an incorrectly configured default gateway (192.168.7.1 instead of 192.168.70.1). Because 192.168.7.1 is outside PC-BRANCH's local subnet (192.168.70.0/24), the host cannot determine a route to reach its gateway and drops outgoing traffic locally.",PARTIAL,high,low,failed,agree
CASE-011,DHCP,High,R010,"The DHCP pool STAFF-POOL on SW-DHCP is misconfigured with network 192.168.10.0/24 instead of 192.168.100.0/24. Because SW-DHCP's Vlan100 SVI is on 192.168.100.1, incoming DHCP requests on Vlan100 do not match any configured DHCP pool, causing PC-NEW's DHCP requests to time out.",PARTIAL,high,low,failed,agree
CASE-012,DHCP,High,R003 R010,"The DHCP pool LAB-POOL on R-CAMPUS is configured with an incorrect default-router address of 192.168.111.1, which belongs to an unreachable subnet. R-CAMPUS's active interface for the lab LAN (GigabitEthernet0/0) is 192.168.110.1. Consequently, PC-LEASED receives an invalid default gateway and cannot route traffic off-subnet.",PARTIAL,high,high,passed,agree
CASE-013,DHCP,Critical,R001 R010,"The DHCP server on SW-BR has a typo in its excluded-address configuration (ip dhcp excluded-address 192.168.12.1 instead of 192.168.120.50), leaving 192.168.120.50 available in the pool. Consequently, DHCP assigns 192.168.120.50 to PC-TEMP, causing an IP address conflict with statically configured SRV-APP.",PARTIAL,high,low,failed,agree
CASE-016,DNS,High,R011,"PC-USER is configured to use 192.168.150.1 (the SW-OFFICE default gateway SVI) as its DNS server rather than SRV-DNS at 192.168.150.50. Because SW-OFFICE does not run a DNS server, all DNS resolution requests sent to 192.168.150.1 time out.",PARTIAL,high,low,failed,agree
CASE-017,DNS,High,R011,"PC-USER is configured with an invalid DNS server IP address (10.10.10.53), which does not exist in the network. The actual DNS resolver on the plant network is SRV-DNS at 192.168.160.50, which is online and reachable.",PARTIAL,high,low,failed,agree
CASE-020,ROUTING,High,R006,"R-BR is missing a static route for the HQ LAN network (192.168.191.0/24) via next-hop 10.0.0.2. When PC-BR sends packets to SRV-HQ (192.168.191.10), R-BR drops them and returns ICMP Destination Host Unreachable. HQ can reach Branch because R-HQ already has a static route to 192.168.190.0/24.",PARTIAL,high,low,failed,agree
CASE-021,ROUTING,High,R006,"The static route on R-BR was misconfigured with a typographical error pointing to 192.168.20.0/24 instead of the actual HQ LAN subnet 192.168.201.0/24. As a result, R-BR has no valid route to reach 192.168.201.10 and drops traffic from PC-BR with an ICMP Destination Host Unreachable error.",PARTIAL,high,low,failed,agree
CASE-025,ACL,High,R012,An extended access list named BLOCK-SMB applied inbound on R-FW GigabitEthernet0/0 explicitly denies TCP port 445 (SMB) traffic from the 192.168.230.0/24 subnet to host 192.168.231.10. Active match counters confirm that connection attempts from PC-USER to the file server are being dropped by rule sequence 10.,PARTIAL,high,low,failed,agree
CASE-026,ACL,Critical,R012,"The access list GUEST-FILTER is misapplied inbound on interface GigabitEthernet0/2 (DMZ) instead of GigabitEthernet0/0 (Guest LAN). Because guest traffic entering Gi0/0 destined for the internal LAN on Gi0/1 never traverses Gi0/2, it bypasses the filter entirely.",CORRECT,high,high,passed,agree
CASE-027,ACL,High,R012,"Access list PERMIT-DB on R-APP contains an incorrect source IP address in entry 10 (192.168.235.20 instead of 192.168.235.21). Because PC-HR's IP address is 192.168.235.21, its traffic misses entry 10 and is dropped by entry 20 (deny ip any any).",PARTIAL,high,low,failed,agree
CASE-029,NAT,High,R013,"GigabitEthernet0/1 on R-NAT is missing the 'ip nat outside' configuration. Because no outside NAT interface is defined, NAT translation is never triggered for traffic outbound to the ISP, causing packets to leave with unroutable private IP addresses.",PARTIAL,high,low,failed,agree
CASE-030,NAT,High,R013,"The NAT overload rule on R-NAT references access list NAT-INSIDE, but the configured access list is named NAT_INSIDE (with an underscore). Because the referenced ACL does not exist, traffic from the inside network is never matched for translation.",PARTIAL,high,low,failed,agree
CASE-033,WIRELESS,Critical,R014,"The guest SSID GUEST-WIFI on AP-GUEST is configured without client isolation (Client-Isolation: none) and there is no access control list on SW-WIFI or AP-GUEST to block traffic between VLAN 50 (Guest) and VLAN 20 (Internal). Consequently, SW-WIFI routes guest traffic directly to the internal subnet.",CORRECT,high,high,passed,agree
CASE-034,WIRELESS,High,R014,"There is an SSID character mismatch between the client profile and the access point configuration. PC-SALES is configured to connect to 'CORP-WIFI' (with a hyphen), whereas AP-SALES is broadcasting 'CORP_WIFI' (with an underscore). Consequently, PC-SALES cannot locate the network and fails to associate.",CORRECT,high,high,passed,agree
